t,dt,step,state_seq,control_mode,drive_mode,gripper_cmd,gripper_width,q0,q1,q2,q3,q4,q5,q6
0.0,0.0,0,0,takeover,cartesian_freedrive,-1.0,0.079999997472947,-0.14967702550226736,0.6074854274214351,-0.06906277666114143,-1.6398823691627795,0.11185553523165438,2.4145085682941443,0.5051293824039763
0.03333333333333333,0.03333333333333333,1,1,takeover,cartesian_freedrive,-1.0,0.0799999842352922,-0.14953206331330193,0.6039541965749216,-0.06943610624004443,-1.63781579382704,0.11130514067498096,2.4089171714061988,0.5056373994068978
0.06666666666666667,0.03333333333333333,2,2,takeover,cartesian_freedrive,-1.0,0.0799999831614101,-0.14936449978512326,0.599893150333548,-0.06986578860693124,-1.635438698594829,0.11067128983188033,2.4024821557213403,0.5062228863322991
0.1,0.03333333333333334,3,3,takeover,cartesian_freedrive,-1.0,0.07999998262303742,-0.14919682202081494,0.5958295802574458,-0.07029576218041785,-1.6330600976350935,0.11003698807459451,2.396042940482902,0.506808801895968
0.13333333333333333,0.033333333333333326,4,4,takeover,cartesian_freedrive,-1.0,0.07999998267694694,-0.14902913683275926,0.5917660143418109,-0.07072571973027336,-1.6306815003721333,0.10940266043825955,2.3896036121401356,0.5073947541134144
0.16666666666666666,0.033333333333333326,5,5,takeover,cartesian_freedrive,-1.0,0.07999998253322407,-0.14886145221721026,0.5877024321190794,-0.07115567694836483,-1.628302903294691,0.10876836304166745,2.383164372135587,0.5079806703681904
0.2,0.033333333333333354,6,6,takeover,cartesian_freedrive,-1.0,0.07999998238586878,-0.14869376813221985,0.5836388498420461,-0.07158563412879679,-1.6259243062237942,0.10813406529575058,2.3767251322074547,0.5085665868690767
0.23333333333333334,0.033333333333333326,7,7,takeover,cartesian_freedrive,-1.0,0.07999998223638023,-0.14852608459024633,0.579575267586759,-0.07201559126836413,-1.6235457091576257,0.10749976705148667,2.370285891940681,0.5091525037862364
0.26666666666666666,0.033333333333333326,8,8,takeover,cartesian_freedrive,-1.0,0.07999998208485914,-0.1483584016026213,0.5755116853530708,-0.07244554836249387,-1.6211671120952245,0.10686546830402589,2.3638466513330703,0.5097384211179087
0.3,0.033333333333333326,9,9,takeover,cartesian_freedrive,-1.0,0.07999998193140906,-0.14819071918057636,0.5714481031404299,-0.07287550540647637,-1.6187885150356238,0.10623116904979057,2.3574074103847535,0.5103243388610206
